X-Position w/ Air Resistance(m),Y-Position w/ Air Resistance(m),X-Position w/ No Air Resistance, Y-Position w/ No Air Resistance
0.0,0.3048,0.0,0.3048,
0.3824657397420034,0.3114710609950155,0.3824391596044734,0.31147059726412135,
0.7649314794840067,0.3181323153400309,0.764825163860678,0.31813046141126716,
1.1473972192260102,0.3247837630350463,1.1471580201555298,0.3247795939331505,
1.5298629589680135,0.33142540408006177,1.529437735877309,0.33141799632130065,
1.912328698710017,0.3380572384750772,1.9116643184111126,0.33804567006724695,
2.2947944384520205,0.34467926622009265,2.2938377751420376,0.34466261666205894,
2.677260178194024,0.35129148731510806,2.675958113454726,0.3512688375968062,
3.059725917936027,0.35789390176012353,3.0580253407315467,0.3578643343621905,
3.442191657678031,0.36448650955513895,3.4400394643539585,0.36444910844872985,
3.824657397420035,0.3710693107001544,3.8220004917043298,0.3710231613467583,
4.207123137162038,0.37764230519516984,4.203908430161391,0.37758649454660975,
4.589588876904042,0.3842054930401853,4.585763287104328,0.384139109537883,
4.972054616646046,0.3907588742352007,4.967565069910961,0.39068100781063614,
5.35452035638805,0.39730244878021614,5.349313785957747,0.3972121908541919,
5.736986096130053,0.4038362166752316,5.731009442620689,0.403732660157965,
6.119451835872057,0.41036017792024704,6.112652047274423,0.4102424172111862,
6.501917575614061,0.4168743325152625,6.494241607293134,0.4167414635022588,
6.8843833153560645,0.42337868046027793,6.875778130049639,0.42322980052050563,
7.266849055098068,0.4298732217552934,7.257261622914484,0.42970742975396226,
7.649314794840072,0.43635795640030883,7.638692093258669,0.4361743526911238,
8.031780534582076,0.4428328843953243,8.020069548452739,0.4426305708201179,
8.41424627432408,0.44929800574033973,8.40139399586451,0.4490760856283367,
8.796712014066083,0.4557533204353552,8.782665442861799,0.45551089860409133,
9.179177753808087,0.46219882848037064,9.163883896810603,0.46193501123440617,
9.56164349355009,0.46863452987538606,9.545049365077375,0.4683484250067651,
9.944109233292094,0.4750604246204015,9.926161855025839,0.47475114140800867,
10.326574973034099,0.4814765127154169,10.307221374019718,0.4811431619249771,
10.709040712776101,0.4878827941604324,10.688227929421828,0.4875244880445107,
11.091506452518106,0.4942792689554478,11.069181528593163,0.49389512125271445,
11.47397219226011,0.5006659371004633,11.450082178894263,0.5002550630360609,
11.856437932002112,0.5070427985954787,11.830929887684306,0.506604314880655,
12.238903671744117,0.5134098534404942,12.211724662322013,0.5129428782718661,
12.621369411486121,0.5197671016355097,12.59246651016474,0.5192707546957069,
13.003835151228124,0.526114543180525,12.973155438568028,0.5255879456372712,
13.386300890970128,0.5324521780755405,13.353791454888324,0.5318944525816524,
13.768766630712133,0.5387800063205559,13.734374566478891,0.5381902770143117,
14.151232370454135,0.5450980279155714,14.11490478069345,0.5444754204196072,
14.53369811019614,0.5514062428605868,14.495382104884357,0.5507498842822647,
14.916163849938142,0.5577046511556023,14.875806546402146,0.5570136700866422,
15.298629589680147,0.5639932528006177,15.256178112598263,0.5632667793168218,
15.681095329422151,0.5702720477956331,15.636496810820972,0.5695092134566101,
16.063561069164155,0.5765410361406487,16.01676264841808,0.5757409739899051,
16.446026808906158,0.582800217835664,16.39697563273785,0.5819620624004216,
16.82849254864816,0.5890495928806795,16.777135771124904,0.5881724801710463,
17.210958288390167,0.595289161275695,17.157243070925233,0.5943722287852179,
17.59342402813217,0.6015189230207103,17.537297539483006,0.6005613097258234,
17.975889767874172,0.6077388781157258,17.91729918414103,0.6067397244752901,
18.358355507616178,0.6139490265607412,18.297248012241198,0.612907474516597,
18.74082124735818,0.6201493683557566,18.6771440311245,0.6190645613315278,
19.123286987100183,0.6263399035007722,19.05698724813101,0.6252109864026014,
19.50575272684219,0.6325206319957876,19.43677767059944,0.6313467512112343,
19.888218466584192,0.638691553840803,19.81651530586805,0.6374718572394856,
20.270684206326194,0.6448526690358185,20.19620016127419,0.6435863059687714,
20.6531499460682,0.6510039775808338,20.57583224415248,0.649690098880232,
21.035615685810203,0.6571454794758493,20.9554115618389,0.6557832374550073,
21.418081425552206,0.6632771747208648,21.334938121667165,0.6618657231738698,
21.80054716529421,0.6693990633158802,21.714411930969163,0.6679375575175001,
22.183012905036215,0.6755111452608957,22.093832997077698,0.6739987419662106,
22.565478644778217,0.6816134205559111,22.47320132732375,0.6800492780005898,
22.94794438452022,0.6877058892009266,22.852516929035573,0.686089167100399,
23.330410124262226,0.6937885511959421,23.23177980954415,0.6921184107453993,
23.71287586400423,0.6998614065409574,23.61098997617546,0.6981370104153514,
24.09534160374623,0.7059244552359729,23.990147436256393,0.7041449675896487,
24.477807343488234,0.7119776972809884,24.369252197113838,0.7101422837475928,
24.860273083230236,0.7180211326760038,24.7483042660715,0.7161289603677494,
25.242738822972242,0.7240547614210191,25.127303650453086,0.7221049989294199,
25.625204562714245,0.7300785835160346,25.506250357581393,0.7280704009109862,
26.007670302456248,0.7360925989610501,25.885144394777853,0.7340251677907382,
26.390136042198254,0.7420968077560655,26.263985769363444,0.7399693010469662,
26.772601781940256,0.7480912099010809,26.64277448865778,0.7459028021576843,
27.15506752168226,0.7540758053960963,27.02151055997865,0.7518256726005389,
27.537533261424265,0.7600505942411119,27.400193990644766,0.7577379138532685,
27.919999001166268,0.7660155764361273,27.7788247879721,0.7636395273928758,
28.30246474090827,0.7719707519811427,28.157402959276624,0.7695305146969156,
28.684930480650273,0.7779161208761582,28.53592851187159,0.7754108772422985,
29.06739622039228,0.7838516831211737,28.914401453071605,0.7812806165053839,
29.44986196013428,0.7897774387161891,29.292821790188555,0.7871397339629911,
